Timestamp,I_Pump_Down,I_Pump_Up,O_PumpUpDown,O_ValvePumpCloseOpen,PumpStrokes
1529500348871,1,0,1,0,3
1529500348971,1,0,1,0,3
1529500349071,1,0,1,0,3
1529500349171,1,0,1,0,3
1529500349272,1,0,1,0,3
1529500349372,1,0,1,0,3
1529500349472,1,0,1,0,3
1529500349572,1,0,1,0,3
1529500349672,1,0,1,0,3
1529500349773,1,0,1,0,3
1529500349873,1,0,1,0,3
1529500349973,1,0,1,0,3
1529500350073,1,0,1,0,3
1529500350173,1,0,1,0,3
1529500350273,1,0,1,0,3
1529500350374,1,0,1,0,3
1529500350474,1,0,1,0,3
1529500350574,1,0,1,0,3
1529500350674,1,0,1,0,3
1529500350774,1,0,1,0,3
1529500350875,1,0,1,0,3
1529500350975,1,0,1,0,3
1529500351075,1,0,1,0,3
1529500351175,1,0,1,0,3
1529500351275,1,0,1,0,3
1529500351376,1,0,1,0,3
1529500351476,1,0,1,0,3
1529500351576,1,0,1,0,3
1529500351676,1,0,1,0,3
1529500351776,1,0,1,0,3
1529500351876,1,0,1,0,3
1529500351977,1,0,1,0,3
1529500352077,1,0,1,0,3
1529500352177,1,0,1,0,3
1529500352277,1,0,1,0,3
1529500352377,1,0,1,0,3
1529500352478,1,0,1,0,3
1529500352578,1,0,1,0,3
1529500352678,1,0,1,0,3
1529500352778,1,0,1,0,3
1529500352878,1,0,1,0,3
1529500352979,1,0,1,0,3
1529500353080,1,0,1,0,3
1529500353180,1,0,1,0,3
1529500353280,1,0,1,0,3
1529500353380,1,0,1,0,3
1529500353480,1,0,1,0,3
1529500353580,1,0,1,0,3
1529500353681,1,0,1,0,3
1529500353781,1,0,1,0,3
1529500353881,1,0,1,0,3
1529500353981,1,0,1,0,3
1529500354081,1,0,1,0,3
1529500354182,1,0,1,0,3
1529500354283,1,0,1,0,3
1529500354385,1,0,1,0,3
1529500354485,1,0,1,0,3
1529500354585,1,0,1,0,3
1529500354686,1,0,1,0,3
1529500354786,1,0,1,0,3
1529500354886,1,0,1,0,3
1529500354986,1,0,1,0,3
1529500355086,1,0,1,0,3
1529500355187,1,0,1,0,3
1529500355287,1,0,1,0,3
1529500355387,1,0,1,0,3
1529500355487,1,0,1,0,3
1529500355587,1,0,1,0,3
1529500355687,1,0,1,0,3
1529500355788,1,0,1,0,3
1529500355888,1,0,1,0,3
1529500355988,1,0,1,0,3
1529500356088,1,0,1,0,3
1529500356188,1,0,1,0,3
1529500356288,1,0,1,0,3
1529500356389,1,0,1,0,3
1529500356489,1,0,1,0,3
1529500356589,1,0,1,0,3
1529500356689,1,0,1,0,3
1529500356789,1,0,1,0,3
1529500356890,1,0,1,0,3
1529500356990,1,0,1,0,3
1529500357090,1,0,1,0,3
1529500357190,1,0,1,0,3
1529500357290,1,0,1,0,3
1529500357391,1,0,1,0,3
1529500357491,1,0,1,0,3
1529500357591,1,0,1,0,3
1529500357691,1,0,1,0,3
1529500357791,1,0,1,0,3
1529500357892,1,0,1,0,3
1529500357992,1,0,1,0,3
1529500358092,1,0,1,0,3
1529500358192,1,0,1,0,3
1529500358292,1,0,1,0,3
1529500358392,1,0,1,0,3
1529500358493,1,0,1,0,3
1529500358593,1,0,1,0,3
1529500358693,1,0,1,0,3
1529500358793,1,0,1,0,3
1529500358893,1,0,1,0,3
1529500358994,1,0,1,0,3
1529500359094,1,0,1,0,3
1529500359194,1,0,1,0,3
1529500359294,1,0,1,0,3
1529500359394,1,0,1,0,3
1529500359494,1,0,1,0,3
1529500359595,1,0,1,0,3
1529500359695,1,0,1,0,3
1529500359795,1,0,1,0,3
1529500359895,1,0,1,0,3
1529500359995,1,0,1,0,3
1529500360097,1,0,1,0,3
1529500360198,1,0,1,0,3
1529500360298,1,0,1,0,3
1529500360398,1,0,1,0,3
1529500360498,1,0,1,0,3
1529500360598,1,0,1,0,3
1529500360699,1,0,1,0,3
1529500360799,1,0,1,0,3
1529500360899,1,0,1,0,3
1529500360999,1,0,1,0,3
1529500361099,1,0,1,0,3
1529500361200,1,0,1,0,3
1529500361300,1,0,1,0,3
1529500361400,1,0,1,0,3
1529500361500,1,0,1,0,3
1529500361600,1,0,1,0,3
1529500361700,1,0,1,0,3
1529500361801,1,0,1,0,3
1529500361901,1,0,1,0,3
1529500362001,1,0,1,0,3
1529500362101,1,0,1,0,3
1529500362201,1,0,1,0,3
1529500362302,1,0,1,0,3
1529500362402,1,0,1,0,3
1529500362502,1,0,1,0,3
1529500362602,1,0,1,0,3
1529500362702,1,0,1,0,3
1529500362802,1,0,1,0,3
1529500362903,1,0,1,0,3
1529500363003,1,0,1,0,3
1529500363103,1,0,1,0,3
1529500363203,1,0,1,0,3
1529500363303,1,0,1,0,3
1529500363404,1,0,1,0,3
1529500363504,1,0,1,0,3
1529500363604,1,0,1,0,3
1529500363704,1,0,1,0,3
1529500363804,1,0,1,0,3
1529500363904,1,0,1,0,3
1529500364005,1,0,1,0,3
1529500364105,1,0,1,0,3
1529500364205,1,0,1,0,3
1529500364305,1,0,1,0,3
1529500364405,1,0,1,0,3
1529500364505,1,0,1,0,3
1529500364606,1,0,1,0,3
1529500364706,1,0,1,0,3
1529500364806,1,0,1,0,3
1529500364906,1,0,1,0,3
1529500365006,1,0,1,0,3
1529500365106,1,0,1,0,3
1529500365207,1,0,1,0,3
1529500365307,1,0,1,0,3
1529500365407,1,0,1,0,3
1529500365507,1,0,1,0,3
1529500365607,1,0,1,0,3
1529500365707,1,0,1,0,3
1529500365808,1,0,1,0,3
1529500365908,1,0,1,0,3
1529500366008,1,0,1,0,3
1529500366108,1,0,1,0,3
1529500366208,1,0,1,0,3
1529500366309,1,0,1,0,3
1529500366409,1,0,1,0,3
1529500366509,1,0,1,0,3
1529500366609,1,0,1,0,3
1529500366709,1,0,1,0,3
1529500366809,1,0,1,0,3
1529500366910,1,0,1,0,3
1529500367010,1,0,1,0,3
1529500367110,1,0,1,0,3
1529500367210,1,0,1,0,3
1529500367310,1,0,1,0,3
1529500367411,1,0,1,0,3
1529500367511,1,0,1,0,3
1529500367611,1,0,1,0,3
1529500367711,1,0,1,0,3
1529500367811,1,0,1,0,3
1529500367911,1,0,1,0,3
1529500368012,1,0,1,0,3
1529500368112,1,0,1,0,3
1529500368212,1,0,1,0,3
1529500368312,1,0,1,0,3
1529500368412,1,0,1,0,3
1529500368512,1,0,1,0,3
1529500368613,1,0,1,0,3
1529500368713,1,0,1,0,3
1529500368813,1,0,1,0,3
1529500368913,1,0,1,0,3
1529500369013,1,0,1,0,3
1529500369113,1,0,1,0,3
1529500369214,1,0,1,0,3
1529500369314,1,0,1,0,3
1529500369414,1,0,1,0,3
1529500369514,1,0,1,0,3
1529500369614,1,0,1,0,3
1529500369715,1,0,1,0,3
1529500369815,1,0,1,0,3
1529500369915,1,0,1,0,3
1529500370015,1,0,1,0,3
1529500370115,1,0,1,0,3
1529500370216,1,0,1,0,3
1529500370316,1,0,1,0,3
1529500370416,1,0,1,0,3
1529500370516,1,0,1,0,3
1529500370616,1,0,1,0,3
1529500370716,1,0,1,0,3
1529500370817,1,0,1,0,3
1529500370917,1,0,1,0,3
1529500371017,1,0,1,0,3
1529500371117,1,0,1,0,3
1529500371217,1,0,1,0,3
1529500371318,1,0,1,0,3
1529500371418,1,0,1,0,3
1529500371519,1,0,1,0,3
1529500371621,1,0,1,0,3
1529500371721,1,0,1,0,3
1529500371821,1,0,1,0,3
1529500371922,1,0,1,0,3
1529500372022,1,0,1,0,3
1529500372122,1,0,1,0,3
1529500372222,1,0,1,0,3
1529500372322,1,0,1,0,3
1529500372422,1,0,1,0,3
1529500372523,1,0,1,0,3
1529500372623,1,0,1,0,3
1529500372723,1,0,1,0,3
1529500372823,1,0,1,0,3
1529500372923,1,0,1,0,3
1529500373023,1,0,1,0,3
1529500373124,1,0,1,0,3
1529500373224,1,0,1,0,3
1529500373324,1,0,1,0,3
1529500373424,1,0,1,0,3
1529500373524,1,0,1,0,3
1529500373625,1,0,1,0,3
1529500373725,1,0,1,0,3
1529500373825,1,0,0,0,3
1529500373925,1,0,0,0,3
1529500374025,1,0,0,0,3
1529500374125,1,0,0,0,3
1529500374226,1,0,0,0,3
1529500374326,1,0,0,0,3
1529500374426,1,0,0,0,3
1529500374526,1,0,0,0,3
1529500374626,1,0,0,0,3
1529500374727,1,0,0,0,3
1529500374827,1,0,0,0,3
1529500374927,1,0,0,0,3
1529500375027,1,0,0,0,3
1529500375127,1,0,0,0,3
1529500375228,1,0,0,0,3
1529500375328,1,0,0,0,3
1529500375428,1,0,0,0,3
1529500375528,1,0,0,0,3
1529500375628,0,0,0,0,3
1529500375728,0,0,0,0,3
1529500375829,0,0,0,0,3
1529500375929,0,0,0,0,3
1529500376029,0,0,0,0,3
1529500376129,0,0,0,0,3
1529500376229,0,0,0,0,3
1529500376330,0,0,0,0,3
1529500376430,0,0,0,0,3
1529500376530,0,0,0,0,3
1529500376630,0,0,0,0,3
1529500376730,0,0,0,0,3
1529500376831,0,0,0,0,3
1529500376931,0,1,0,0,3
1529500377031,0,1,1,1,3
1529500377131,0,1,1,1,3
1529500377231,0,1,1,1,3
1529500377332,0,1,1,1,3
1529500377432,0,1,1,1,3
1529500377532,0,1,1,1,3
1529500377632,0,0,1,1,3
1529500377732,0,0,1,1,3
1529500377833,0,0,1,1,3
1529500377933,0,0,1,1,3
1529500378033,0,0,1,1,3
1529500378133,0,0,1,1,3
1529500378233,0,0,1,1,3
1529500378333,0,0,1,1,3
1529500378434,0,0,1,1,3
1529500378534,0,0,1,1,3
1529500378634,0,0,1,1,3
1529500378734,0,0,1,1,3
1529500378834,0,0,1,1,3
1529500378935,0,0,1,1,3
1529500379035,0,0,1,1,3
1529500379135,0,0,1,1,3
1529500379235,0,0,1,1,3
1529500379335,0,0,1,1,3
1529500379435,0,0,1,1,3
1529500379536,0,0,1,1,3
1529500379636,0,0,1,1,3
1529500379736,0,0,1,1,3
1529500379836,0,0,1,1,3
1529500379936,0,0,1,1,3
1529500380037,0,0,1,1,3
1529500380137,0,0,1,1,3
1529500380237,0,0,1,1,3
1529500380337,0,0,1,1,3
1529500380437,0,0,1,1,3
1529500380538,0,0,1,1,3
1529500380638,0,0,1,1,3
