Timestamp,I_CapGrabberDown,I_CapGrabberUp,I_CapOnConveyor,I_LinAxisDown,I_LinAxisUp
1529500974368,0,1,0,1,0
1529500974468,0,1,0,1,0
1529500974568,0,1,0,1,0
1529500974668,0,1,0,1,0
1529500974768,0,1,0,1,0
1529500974869,0,1,0,1,0
1529500974969,0,1,0,1,0
1529500975069,0,1,0,1,0
1529500975169,0,1,0,1,0
1529500975269,0,1,0,1,0
1529500975370,0,1,0,1,0
1529500975470,0,1,0,1,0
1529500975570,0,1,0,1,0
1529500975670,0,1,0,1,0
1529500975770,0,1,0,1,0
1529500975871,0,1,0,1,0
1529500975971,0,1,0,1,0
1529500976071,0,1,0,1,0
1529500976171,0,1,0,1,0
1529500976271,0,1,0,1,0
1529500976372,0,1,0,1,0
1529500976472,0,1,0,1,0
1529500976572,0,1,0,1,0
1529500976672,0,1,0,1,0
1529500976772,0,1,0,1,0
1529500976873,0,1,0,1,0
1529500976973,0,1,0,1,0
1529500977073,0,1,0,1,0
1529500977173,0,1,0,1,0
1529500977273,0,1,0,1,0
1529500977373,0,1,0,1,0
1529500977474,0,1,0,1,0
1529500977574,0,1,0,1,0
1529500977674,0,1,0,1,0
1529500977774,0,1,0,1,0
1529500977874,0,1,0,1,0
1529500977975,0,1,0,1,0
1529500978075,0,1,0,1,0
1529500978175,0,1,0,1,0
1529500978275,0,1,0,1,0
1529500978375,0,1,0,1,0
1529500978476,0,1,0,1,0
1529500978576,0,1,0,1,0
1529500978676,0,1,0,1,0
1529500978776,0,1,0,1,0
1529500978876,0,1,0,1,0
1529500978977,0,1,0,1,0
1529500979077,0,1,0,1,0
1529500979177,0,1,0,1,0
1529500979277,0,1,0,1,0
1529500979377,0,1,0,1,0
1529500979478,0,1,0,1,0
1529500979578,0,1,0,1,0
1529500979678,0,1,0,1,0
1529500979778,0,1,0,1,0
1529500979878,0,1,0,1,0
1529500979979,0,1,0,1,0
1529500980079,0,1,0,1,0
1529500980181,0,1,0,1,0
1529500980283,0,1,0,1,0
1529500980384,0,1,0,1,0
1529500980484,0,1,0,1,0
1529500980585,0,1,0,1,0
1529500980685,0,1,0,1,0
1529500980785,0,1,0,1,0
1529500980885,0,1,0,1,0
1529500980985,0,1,0,1,0
1529500981086,0,1,0,1,0
1529500981186,0,1,0,1,0
1529500981286,0,1,0,1,0
1529500981386,0,1,0,1,0
1529500981486,0,1,0,1,0
1529500981587,0,1,0,1,0
1529500981687,0,1,0,1,0
1529500981787,0,1,0,1,0
1529500981887,0,1,0,1,0
1529500981987,0,1,0,1,0
1529500982088,0,1,0,1,0
1529500982188,0,1,0,1,0
1529500982288,0,1,0,1,0
1529500982388,0,1,0,1,0
1529500982488,0,1,0,1,0
1529500982588,0,1,0,1,0
1529500982689,0,1,0,1,0
1529500982789,0,1,0,1,0
1529500982889,0,1,0,1,0
1529500982989,0,1,0,1,0
1529500983089,0,1,0,1,0
1529500983190,0,1,0,1,0
1529500983290,0,1,0,1,0
1529500983390,0,1,0,1,0
1529500983490,0,1,0,1,0
1529500983590,0,1,0,1,0
1529500983691,0,1,0,1,0
1529500983791,0,1,0,1,0
1529500983891,0,1,0,1,0
1529500983991,0,1,0,1,0
1529500984091,0,1,0,1,0
1529500984192,0,1,0,1,0
1529500984292,0,1,0,1,0
1529500984392,0,1,0,1,0
1529500984492,0,1,0,1,0
1529500984592,0,1,0,1,0
1529500984693,0,1,0,1,0
1529500984793,0,1,0,1,0
1529500984893,0,1,0,1,0
1529500984993,0,1,0,1,0
1529500985093,0,1,0,1,0
1529500985194,0,1,0,1,0
1529500985294,0,1,0,1,0
1529500985394,0,1,0,1,0
1529500985494,0,1,0,1,0
1529500985594,0,1,0,1,0
1529500985694,0,1,0,1,0
1529500985795,0,1,0,1,0
1529500985895,0,1,0,1,0
1529500985995,0,1,0,1,0
1529500986095,0,1,0,1,0
1529500986195,0,1,0,1,0
1529500986296,0,1,0,1,0
1529500986396,0,1,0,1,0
1529500986496,0,1,0,1,0
1529500986596,0,1,0,1,0
1529500986696,0,1,0,1,0
1529500986799,0,1,0,1,0
1529500986900,0,1,0,1,0
1529500987000,0,1,0,1,0
1529500987100,0,1,0,1,0
1529500987200,0,1,0,1,0
1529500987301,0,1,0,1,0
