Timestamp,O_PortionerForward,O_PortionerReverse,O_PortionerSlow,Portions
1529500877540,0,0,0,4
1529500877640,0,0,0,4
1529500877740,0,0,0,4
1529500877840,0,0,0,4
1529500877940,0,0,0,4
1529500878041,0,0,0,4
1529500878141,0,0,0,4
1529500878242,0,0,0,4
1529500878342,0,0,0,4
1529500878442,0,0,0,4
1529500878543,0,0,0,4
1529500878643,0,0,0,4
1529500878743,0,0,0,4
1529500878843,0,0,0,4
1529500878943,0,0,0,4
1529500879044,0,0,0,4
1529500879144,0,0,0,4
1529500879244,0,0,0,4
1529500879344,0,0,0,4
1529500879444,0,0,0,4
1529500879545,0,0,0,4
1529500879645,0,0,0,4
1529500879745,0,0,0,4
1529500879845,0,0,0,4
1529500879945,0,0,0,4
1529500880046,0,0,0,4
1529500880146,0,0,0,4
1529500880246,0,0,0,4
1529500880346,0,0,0,4
1529500880446,0,0,0,4
1529500880547,0,0,0,4
1529500880647,0,0,0,4
1529500880747,0,0,0,4
1529500880847,0,0,0,4
1529500880947,0,0,0,4
1529500881048,0,0,0,4
1529500881148,0,0,0,4
1529500881248,0,0,0,4
1529500881348,0,0,0,4
1529500881448,0,0,0,4
1529500881549,0,0,0,4
1529500881649,0,0,0,4
1529500881749,0,0,0,4
1529500881849,0,0,0,4
1529500881949,0,0,0,4
1529500882049,0,0,0,4
1529500882150,0,0,0,4
1529500882250,0,0,0,4
1529500882350,0,0,0,4
1529500882450,0,0,0,4
1529500882550,0,0,0,4
1529500882651,0,0,0,4
1529500882751,0,0,0,4
1529500882851,0,0,0,4
1529500882951,0,0,0,4
1529500883051,0,0,0,4
1529500883151,0,0,0,4
1529500883252,0,0,0,4
1529500883352,0,0,0,4
1529500883452,0,0,0,4
1529500883552,0,0,0,4
1529500883652,0,0,0,4
1529500883753,0,0,0,4
1529500883853,0,0,0,4
1529500883954,0,0,0,4
1529500884054,0,0,0,4
1529500884154,0,0,0,4
1529500884255,0,0,0,4
1529500884355,0,0,0,4
1529500884455,0,0,0,4
1529500884555,0,0,0,4
1529500884655,0,0,0,4
