Timestamp,CupState,CurrentWeight,EmergencyStop,FanOn,HeatCoverClosed,HeaterOn,HeatingTimePercent,PotAvailable,Produce,ScaleCupDown,ScaleCupUp,SwitchToPot,TrackSwitchAtCup,TrackSwitchAtPot,TurnScaleCup
1516356578387,2,0.523412466049194,1,1,1,1,75,1,0,0,1,1,0,1,0
1516356578496,2,0.554201364517212,1,1,1,1,75,1,0,0,1,1,0,1,0
1516356578606,2,0.523412466049194,1,1,1,1,75,1,0,0,1,1,0,1,0
1516356578715,2,0.554201364517212,1,1,1,1,75,1,0,0,1,1,0,1,0
1516356578824,2,0.584990382194519,1,1,1,1,75,1,0,0,1,1,0,1,0
1516356578934,2,0.615779340267181,1,1,1,1,76,1,0,0,1,1,0,1,0
1516356579043,2,0.615779340267181,1,1,1,1,76,1,0,0,1,1,0,1,0
1516356579153,2,0.584990382194519,1,1,1,1,76,1,0,0,1,1,0,1,0
1516356579262,2,0.584990382194519,1,1,1,1,76,1,0,0,1,1,0,1,0
1516356579371,2,0.584990382194519,1,1,1,1,76,1,0,0,1,1,0,1,0
1516356579481,2,0.584990382194519,1,1,1,1,76,1,0,0,1,1,0,1,0
1516356579590,2,0.584990382194519,1,1,1,1,76,1,0,0,1,1,0,1,0
1516356579700,2,0.615779340267181,1,1,1,1,77,1,0,0,1,1,0,1,0
1516356579809,2,0.523412466049194,1,1,1,1,77,1,0,0,1,1,0,1,0
1516356579918,2,0.615779340267181,1,1,1,1,77,1,0,0,1,1,0,1,0
1516356580028,2,0.584990382194519,1,1,1,1,77,1,0,0,1,1,0,1,0
1516356580137,2,0.584990382194519,1,1,1,1,77,1,0,0,1,1,0,1,0
1516356580246,2,0.584990382194519,1,1,1,1,77,1,0,0,1,1,0,1,0
1516356580359,2,0.554201364517212,1,1,1,1,78,1,0,0,1,1,0,1,0
1516356580465,2,0.615779340267181,1,1,1,1,78,1,0,0,1,1,0,1,0
1516356580575,2,0.615779340267181,1,1,1,1,78,1,0,0,1,1,0,1,0
1516356580684,2,0.615779340267181,1,1,1,1,78,1,0,0,1,1,0,1,0
1516356580793,2,0.584990382194519,1,1,1,1,78,1,0,0,1,1,0,1,0
1516356580903,2,0.523412466049194,1,1,1,1,78,1,0,0,1,1,0,1,0
1516356581012,2,0.584990382194519,1,1,1,1,78,1,0,0,1,1,0,1,0
1516356581121,2,0.584990382194519,1,1,1,1,79,1,0,0,1,1,0,1,0
1516356581231,2,0.646568298339844,1,1,1,1,79,1,0,0,1,1,0,1,0
1516356581340,2,0.584990382194519,1,1,1,1,79,1,0,0,1,1,0,1,0
1516356581450,2,0.584990382194519,1,1,1,1,79,1,0,0,1,1,0,1,0
1516356581559,2,0.584990382194519,1,1,1,1,79,1,0,0,1,1,0,1,0
1516356581668,2,0.584990382194519,1,1,1,1,79,1,0,0,1,1,0,1,0
1516356581778,2,0.584990382194519,1,1,1,1,80,1,0,0,1,1,0,1,0
1516356581887,2,0.584990382194519,1,1,1,1,80,1,0,0,1,1,0,1,0
1516356581997,2,0.584990382194519,1,1,1,1,80,1,0,0,1,1,0,1,0
1516356582106,2,0.584990382194519,1,1,1,1,80,1,0,0,1,1,0,1,0
1516356582215,2,0.584990382194519,1,1,1,1,80,1,0,0,1,1,0,1,0
1516356582325,2,0.523412466049194,1,1,1,1,80,1,0,0,1,1,0,1,0
1516356582434,2,0.523412466049194,1,1,1,1,80,1,0,0,1,1,0,1,0
1516356582543,2,0.584990382194519,1,1,1,1,81,1,0,0,1,1,0,1,0
1516356582653,2,0.615779340267181,1,1,1,1,81,1,0,0,1,1,0,1,0
1516356582762,2,0.584990382194519,1,1,1,1,81,1,0,0,1,1,0,1,0
1516356582872,2,0.646568298339844,1,1,1,1,81,1,0,0,1,1,0,1,0
1516356582981,2,0.584990382194519,1,1,1,1,81,1,0,0,1,1,0,1,0
