Timestamp,SiloFull,SiloMinFull,Aspirator.O_xOn,BeltConveyor.O_xOn,FunnelBlocked
1515158037528,0,1,0,0,0
1515158037629,0,1,0,0,0
1515158037729,0,1,0,0,0
1515158037829,0,1,0,0,0
1515158037929,0,1,0,0,0
1515158038029,0,1,0,0,0
1515158038129,0,1,0,0,0
1515158038229,0,1,0,0,0
1515158038329,0,1,0,0,0
1515158038430,0,1,0,0,0
1515158038530,0,1,0,0,0
1515158038630,0,1,0,0,0
1515158038730,0,1,0,0,0
1515158038830,0,1,0,0,0
1515158038930,0,1,0,0,0
1515158039030,0,1,0,0,0
1515158039131,0,1,0,0,0
1515158039231,0,1,0,0,0
1515158039331,0,1,0,0,0
1515158039431,0,1,0,0,0
1515158039531,0,1,0,0,0
1515158039631,0,1,0,0,0
1515158039731,0,1,0,0,0
1515158039832,0,1,0,0,0
1515158039932,0,1,0,0,0
1515158040032,0,1,0,0,0
1515158040132,0,1,0,0,0
1515158040232,0,1,0,0,0
1515158040332,0,1,0,0,0
1515158040432,0,1,0,0,0
1515158040533,0,1,0,0,0
1515158040633,0,1,0,0,0
1515158040734,0,1,0,0,0
1515158040835,0,1,0,0,0
1515158040935,0,1,0,0,0
1515158041035,0,1,0,0,0
1515158041135,0,1,0,0,0
1515158041235,0,1,0,0,0
1515158041335,0,1,0,0,0
1515158041436,0,1,0,0,0
1515158041536,0,1,0,0,0
1515158041636,0,1,0,0,0
1515158041736,0,1,0,0,0
1515158041836,0,1,0,0,0
1515158041936,0,1,0,0,0
1515158042036,0,1,0,0,0
1515158042137,0,1,0,0,0
1515158042237,0,1,0,0,0
1515158042337,0,1,0,0,0
1515158042437,0,1,0,0,0
1515158042537,0,1,0,0,0
1515158042637,0,1,0,0,0
1515158042737,0,1,0,0,0
1515158042838,0,1,0,0,0
1515158042938,0,1,0,0,0
1515158043038,0,1,0,0,0
1515158043138,0,1,0,0,0
1515158043238,0,1,0,0,0
1515158043340,0,1,0,0,0
1515158043440,0,1,0,0,0
1515158043540,0,1,0,0,0
1515158043641,0,1,0,0,0
1515158043741,0,1,0,0,0
1515158043841,0,1,0,0,0
1515158043941,0,1,0,0,0
1515158044041,0,1,0,0,0
1515158044141,0,1,0,0,0
1515158044242,0,1,0,0,0
1515158044342,0,1,0,0,0
1515158044442,0,1,0,0,0
1515158044542,0,1,0,0,0
1515158044642,0,1,0,0,0
1515158044742,0,1,0,0,0
1515158044842,0,1,0,0,0
1515158044943,0,1,0,0,0
1515158045043,0,1,0,0,0
1515158045143,0,1,0,0,0
1515158045243,0,1,0,0,0
1515158045343,0,1,0,0,0
1515158045443,0,1,0,0,0
1515158045543,0,1,0,0,0
1515158045643,0,1,0,0,0
1515158045744,0,1,0,0,0
1515158045844,0,1,0,0,0
1515158045944,0,1,0,0,0
1515158046044,0,1,0,0,0
1515158046144,0,1,0,0,0
1515158046244,0,1,0,0,0
1515158046344,0,1,0,0,0
1515158046445,0,1,0,0,0
1515158046545,0,1,0,0,0
1515158046645,0,1,0,0,0
1515158046745,0,1,0,0,0
1515158046845,0,1,0,0,0
1515158046945,0,1,0,0,0
1515158047045,0,1,0,0,0
1515158047145,0,1,0,0,0
1515158047246,0,1,0,0,0
1515158047346,0,1,0,0,0
1515158047446,0,1,0,0,0
1515158047546,0,1,0,0,0
1515158047646,0,1,0,0,0
1515158047746,0,1,0,0,0
1515158047846,0,1,0,0,0
1515158047947,0,1,0,0,0
1515158048047,0,1,0,0,0
1515158048147,0,1,0,0,0
1515158048247,0,1,0,0,0
1515158048347,0,1,0,0,0
1515158048447,0,1,0,0,0
1515158048547,0,1,0,0,0
1515158048648,0,1,0,0,0
1515158048748,0,1,0,0,0
1515158048848,0,1,0,0,0
1515158048948,0,1,0,0,0
1515158049048,0,1,0,0,0
1515158049149,0,1,0,0,0
1515158049249,0,1,0,0,0
1515158049349,0,1,0,0,0
1515158049450,0,1,0,0,0
1515158049550,0,1,0,0,0
1515158049650,0,1,0,0,0
1515158049750,0,1,0,0,0
1515158049850,0,1,0,0,0
1515158049950,0,1,0,0,0
1515158050050,0,1,0,0,0
1515158050150,0,1,0,0,0
1515158050251,0,1,0,0,0
1515158050351,0,1,0,0,0
1515158050451,0,1,0,0,0
1515158050551,0,1,0,0,0
1515158050651,0,1,0,0,0
1515158050751,0,1,0,0,0
1515158050851,0,1,0,0,0
1515158050952,0,1,0,0,0
1515158051052,0,1,0,0,0
1515158051152,0,1,0,0,0
1515158051252,0,1,0,0,0
1515158051352,0,1,0,0,0
1515158051452,0,1,0,0,0
1515158051552,0,1,0,0,0
1515158051653,0,1,0,0,0
1515158051753,0,1,0,0,0
1515158051853,0,1,0,0,0
1515158051953,0,1,0,0,0
1515158052054,0,1,0,0,0
1515158052154,0,1,0,0,0
1515158052254,0,1,0,0,0
1515158052354,0,1,0,0,0
1515158052455,0,1,0,0,0
1515158052555,0,1,0,0,0
1515158052655,0,1,0,0,0
1515158052755,0,1,0,0,0
1515158052855,0,1,0,0,0
1515158052955,0,1,0,0,0
1515158053055,0,1,0,0,0
1515158053156,0,1,0,0,0
1515158053256,0,1,0,0,0
1515158053356,0,1,0,0,0
1515158053456,0,1,0,0,0
1515158053556,0,1,0,0,0
1515158053656,0,1,0,0,0
1515158053756,0,1,0,0,0
1515158053856,0,1,0,0,0
1515158053957,0,1,0,0,0
1515158054057,0,1,0,0,0
1515158054157,0,1,0,0,0
1515158054257,0,1,0,0,0
1515158054357,0,1,0,0,0
1515158054457,0,1,0,0,0
1515158054557,0,1,0,0,0
1515158054658,0,1,0,0,0
1515158054758,0,1,0,0,0
1515158054858,0,1,0,0,0
1515158054958,0,1,0,0,0
1515158055058,0,1,0,0,0
1515158055158,0,1,0,0,0
1515158055258,0,1,0,0,0
1515158055359,0,1,0,0,0
1515158055459,0,1,0,0,0
1515158055559,0,1,0,0,0
1515158055659,0,1,0,0,0
1515158055759,0,1,0,0,0
1515158055859,0,1,0,0,0
1515158055959,0,1,0,0,0
1515158056059,0,1,0,0,0
1515158056160,0,1,0,0,0
1515158056260,0,1,0,0,0
1515158056360,0,1,0,0,0
1515158056460,0,1,0,0,0
1515158056560,0,1,0,0,0
1515158056660,0,1,0,0,0
1515158056760,0,1,0,0,0
1515158056861,0,1,0,0,0
1515158056961,0,1,0,0,0
1515158057061,0,1,0,0,0
1515158057161,0,1,0,0,0
