Timestamp,FunnelBlocked.I_xSignal,StorageSiloFull.I_xSignal,StorageSiloMinFull.I_xSignal,Aspirator.O_xOn,MuscleTrigger.O_xOn,MuscleTrigger.xOn
1515157785355,0,1,1,0,0,0
1515157785455,0,1,1,0,0,0
1515157785555,0,1,1,0,0,0
1515157785655,0,1,1,0,0,0
1515157785755,0,1,1,0,0,0
1515157785856,0,1,1,0,0,0
1515157785956,0,1,1,0,0,0
1515157786056,0,1,1,0,0,0
1515157786156,0,1,1,0,0,0
1515157786256,0,1,1,0,0,0
1515157786356,0,1,1,0,0,0
1515157786456,0,1,1,0,0,0
1515157786556,0,1,1,0,0,0
1515157786657,0,1,1,0,0,0
1515157786757,0,1,1,0,0,0
1515157786857,0,1,1,0,0,0
1515157786957,0,1,1,0,0,0
1515157787057,0,1,1,0,0,0
1515157787157,0,1,1,0,0,0
1515157787257,0,1,1,0,0,0
1515157787357,0,1,1,0,0,0
1515157787458,0,1,1,0,0,0
1515157787558,0,1,1,0,0,0
1515157787658,0,1,1,0,0,0
1515157787758,0,1,1,0,0,0
1515157787858,0,1,1,0,0,0
1515157787958,0,1,1,0,0,0
1515157788058,0,1,1,0,0,0
1515157788159,0,1,1,0,0,0
1515157788259,0,1,1,0,0,0
1515157788359,0,1,1,0,0,0
1515157788459,0,1,1,0,0,0
1515157788559,0,1,1,0,0,0
1515157788659,0,1,1,0,0,0
1515157788759,0,1,1,0,0,0
1515157788859,0,1,1,0,0,0
1515157788960,0,1,1,0,0,0
1515157789060,0,1,1,0,0,0
1515157789160,0,1,1,0,0,0
1515157789260,0,1,1,0,0,0
1515157789360,0,1,1,0,0,0
1515157789460,0,1,1,0,0,0
1515157789560,0,1,1,0,0,0
1515157789661,0,1,1,0,0,0
1515157789761,0,1,1,0,0,0
1515157789861,0,1,1,0,0,0
1515157789961,0,1,1,0,0,0
1515157790061,0,1,1,0,0,0
1515157790161,0,1,1,0,0,0
1515157790261,0,1,1,0,0,0
1515157790362,0,1,1,0,0,0
1515157790462,0,1,1,0,0,0
1515157790562,0,1,1,0,0,0
1515157790662,0,1,1,0,0,0
1515157790762,0,1,1,0,0,0
1515157790862,0,1,1,0,0,0
1515157790962,0,1,1,0,0,0
1515157791062,0,1,1,0,0,0
1515157791163,0,1,1,0,0,0
1515157791263,0,1,1,0,0,0
1515157791363,0,1,1,0,0,0
1515157791463,0,1,1,0,0,0
1515157791563,0,1,1,0,0,0
1515157791663,0,1,1,0,0,0
1515157791763,0,1,1,0,0,0
1515157791863,0,1,1,0,0,0
1515157791964,0,1,1,0,0,0
1515157792064,0,1,1,0,0,0
1515157792164,0,1,1,0,0,0
1515157792264,0,1,1,0,0,0
1515157792364,0,1,1,0,0,0
1515157792464,0,1,1,0,0,0
1515157792564,0,1,1,0,0,0
1515157792665,0,1,1,0,0,0
1515157792765,0,1,1,0,0,0
1515157792865,0,1,1,0,0,0
1515157792965,0,1,1,0,0,0
1515157793065,0,1,1,0,0,0
1515157793165,0,1,1,0,0,0
1515157793265,0,1,1,0,0,0
1515157793365,0,1,1,0,0,0
1515157793466,0,1,1,0,0,0
1515157793566,0,1,1,0,0,0
1515157793666,0,1,1,0,0,0
1515157793766,0,1,1,0,0,0
1515157793866,0,1,1,0,0,0
1515157793966,0,1,1,0,0,0
1515157794066,0,1,1,0,0,0
1515157794167,0,1,1,0,0,0
1515157794267,0,1,1,0,0,0
1515157794367,0,1,1,0,0,0
1515157794467,0,1,1,0,0,0
1515157794567,0,1,1,0,0,0
1515157794667,0,1,1,0,0,0
1515157794767,0,1,1,0,0,0
1515157794867,0,1,1,0,0,0
1515157794968,0,1,1,0,0,0
1515157795068,0,1,1,0,0,0
1515157795168,0,1,1,0,0,0
1515157795268,0,1,1,0,0,0
1515157795368,0,1,1,0,0,0
1515157795468,0,1,1,0,0,0
1515157795568,0,1,1,0,0,0
1515157795669,0,1,1,0,0,0
1515157795769,0,1,1,0,0,0
1515157795869,0,1,1,0,0,0
1515157795969,0,1,1,0,0,0
1515157796069,0,1,1,0,0,0
1515157796169,0,1,1,0,0,0
1515157796269,0,1,1,0,0,0
1515157796369,0,1,1,0,0,0
1515157796470,0,1,1,0,0,0
1515157796570,0,1,1,0,0,0
1515157796670,0,1,1,0,0,0
1515157796770,0,1,1,0,0,0
1515157796870,0,1,1,0,0,0
1515157796970,0,1,1,0,0,0
1515157797070,0,1,1,0,0,0
1515157797171,0,1,1,0,0,0
1515157797271,0,1,1,0,0,0
1515157797371,0,1,1,0,0,0
1515157797471,0,1,1,0,0,0
1515157797571,0,1,1,0,0,0
1515157797671,0,1,1,0,0,0
1515157797771,0,1,1,0,0,0
1515157797871,0,1,1,0,0,0
1515157797972,0,1,1,0,0,0
1515157798072,0,1,1,0,0,0
1515157798172,0,1,1,0,0,0
1515157798272,0,1,1,0,0,0
1515157798372,0,1,1,0,0,0
1515157798472,0,1,1,0,0,0
1515157798572,0,1,1,0,0,0
1515157798673,0,1,1,0,0,0
1515157798773,0,1,1,0,0,0
1515157798873,0,1,1,0,0,0
1515157798973,0,1,1,0,0,0
1515157799073,0,1,1,0,0,0
1515157799173,0,1,1,0,0,0
1515157799273,0,1,1,0,0,0
1515157799373,0,1,1,0,0,0
1515157799474,0,1,1,0,0,0
1515157799574,0,1,1,0,0,0
1515157799674,0,1,1,0,0,0
1515157799774,0,1,1,0,0,0
1515157799874,0,1,1,0,0,0
1515157799974,0,1,1,0,0,0
1515157800074,0,1,1,0,0,0
1515157800174,0,1,1,0,0,0
1515157800275,0,1,1,0,0,0
1515157800375,0,1,1,0,0,0
1515157800475,0,1,1,0,0,0
1515157800575,0,1,1,0,0,0
1515157800675,0,1,1,0,0,0
1515157800775,0,1,1,0,0,0
1515157800875,0,1,1,0,0,0
1515157800976,0,1,1,0,0,0
1515157801076,0,1,1,0,0,0
1515157801176,0,1,1,0,0,0
1515157801276,0,1,1,0,0,0
1515157801376,0,1,1,0,0,0
1515157801476,0,1,1,0,0,0
1515157801576,0,1,1,0,0,0
1515157801676,0,1,1,0,0,0
1515157801777,0,1,1,0,0,0
1515157801877,0,1,1,0,0,0
1515157801977,0,1,1,0,0,0
1515157802077,0,1,1,0,0,0
1515157802177,0,1,1,0,0,0
1515157802277,0,1,1,0,0,0
1515157802377,0,1,1,0,0,0
1515157802478,0,1,1,0,0,0
1515157802578,0,1,1,0,0,0
1515157802678,0,1,1,0,0,0
1515157802778,0,1,1,0,0,0
1515157802878,0,1,1,0,0,0
1515157802978,0,1,1,0,0,0
1515157803078,0,1,1,0,0,0
1515157803178,0,1,1,0,0,0
1515157803279,0,1,1,0,0,0
1515157803379,0,1,1,0,0,0
1515157803479,0,1,1,0,0,0
1515157803579,0,1,1,0,0,0
1515157803679,0,1,1,0,0,0
1515157803779,0,1,1,0,0,0
1515157803879,0,1,1,0,0,0
1515157803980,0,1,1,0,0,0
1515157804080,0,1,1,0,0,0
1515157804180,0,1,1,0,0,0
1515157804280,0,1,1,0,0,0
1515157804380,0,1,1,0,0,0
