Timestamp,Auger.O_xOn,Aspirator.O_xOn,WeightSensor.I_uiValue,FunnelBlocked.I_xSignal
1515157964466,0,0,18676,0
1515157964566,0,0,18678,0
1515157964666,0,0,18676,0
1515157964767,0,0,18676,0
1515157964867,0,0,18676,0
1515157964967,0,0,18676,0
1515157965067,0,0,18676,0
1515157965167,0,0,18679,0
1515157965267,0,0,18678,0
1515157965367,0,0,18678,0
1515157965468,0,0,18679,0
1515157965568,0,0,18678,0
1515157965668,0,0,18678,0
1515157965768,0,0,18678,0
1515157965868,0,0,18678,0
1515157965969,0,0,18678,0
1515157966069,0,0,18676,0
1515157966169,0,0,18679,0
1515157966270,0,0,18678,0
1515157966370,0,0,18679,0
1515157966470,0,0,18678,0
1515157966570,0,0,18678,0
1515157966670,0,0,18678,0
1515157966770,0,0,18678,0
1515157966870,0,0,18679,0
1515157966970,0,0,18678,0
1515157967071,0,0,18678,0
1515157967171,0,0,18678,0
1515157967271,0,0,18676,0
1515157967371,0,0,18678,0
1515157967471,0,0,18678,0
1515157967571,0,0,18678,0
1515157967671,0,0,18676,0
1515157967771,0,0,18676,0
1515157967872,0,0,18676,0
1515157967972,0,0,18676,0
1515157968072,0,0,18678,0
1515157968172,0,0,18676,0
1515157968272,0,0,18676,0
1515157968372,0,0,18676,0
1515157968472,0,0,18678,0
1515157968573,0,0,18678,0
1515157968673,0,0,18678,0
1515157968773,0,0,18678,0
1515157968873,0,0,18678,0
1515157968973,0,0,18678,0
1515157969073,0,0,18676,0
1515157969173,0,0,18676,0
1515157969274,0,0,18676,0
1515157969374,0,0,18675,0
1515157969474,0,0,18679,0
1515157969574,0,0,18679,0
1515157969674,0,0,18679,0
1515157969774,0,0,18676,0
1515157969874,0,0,18678,0
1515157969974,0,0,18675,0
1515157970075,0,0,18678,0
1515157970175,0,0,18676,0
1515157970275,0,0,18676,0
1515157970375,0,0,18678,0
1515157970475,0,0,18676,0
1515157970575,0,0,18676,0
1515157970675,0,0,18680,0
1515157970775,0,0,18678,0
1515157970876,0,0,18676,0
1515157970976,0,0,18679,0
1515157971076,0,0,18678,0
1515157971176,0,0,18678,0
1515157971276,0,0,18676,0
1515157971376,0,0,18678,0
1515157971476,0,0,18676,0
1515157971577,0,0,18676,0
1515157971677,0,0,18676,0
1515157971777,0,0,18678,0
1515157971877,0,0,18678,0
1515157971977,0,0,18679,0
1515157972077,0,0,18678,0
1515157972177,0,0,18676,0
1515157972278,0,0,18676,0
1515157972378,0,0,18678,0
1515157972478,0,0,18676,0
1515157972578,0,0,18678,0
1515157972678,0,0,18678,0
1515157972778,0,0,18678,0
1515157972878,0,0,18678,0
1515157972979,0,0,18678,0
1515157973079,0,0,18678,0
1515157973179,0,0,18678,0
1515157973279,0,0,18676,0
1515157973379,0,0,18676,0
1515157973479,0,0,18676,0
1515157973579,0,0,18678,0
1515157973680,0,0,18676,0
1515157973780,0,0,18678,0
1515157973880,0,0,18676,0
1515157973980,0,0,18676,0
1515157974080,0,0,18676,0
1515157974180,0,0,18679,0
1515157974280,0,0,18678,0
1515157974381,0,0,18676,0
1515157974481,0,0,18676,0
1515157974581,0,0,18676,0
1515157974681,0,0,18676,0
1515157974781,0,0,18678,0
1515157974881,0,0,18679,0
1515157974981,0,0,18678,0
1515157975082,0,0,18678,0
1515157975182,0,0,18678,0
1515157975282,0,0,18679,0
1515157975382,0,0,18676,0
1515157975482,0,0,18676,0
1515157975582,0,0,18676,0
1515157975682,0,0,18679,0
1515157975782,0,0,18679,0
1515157975883,0,0,18678,0
1515157975983,0,0,18678,0
1515157976083,0,0,18678,0
1515157976183,0,0,18678,0
1515157976283,0,0,18678,0
1515157976383,0,0,18679,0
1515157976483,0,0,18678,0
1515157976586,0,0,18679,0
1515157976686,0,0,18679,0
1515157976786,0,0,18678,0
1515157976886,0,0,18679,0
1515157976986,0,0,18678,0
1515157977086,0,0,18679,0
1515157977186,0,0,18679,0
1515157977286,0,0,18676,0
1515157977387,0,0,18678,0
1515157977487,0,0,18676,0
1515157977587,0,0,18678,0
