Timestamp,O_BottleClampClose,O_CapScrewDown,O_CapScrewerGrabberOpenClose,O_CloseCap
1529500879012,0,0,0,0
1529500879112,0,0,0,0
1529500879213,0,0,0,0
1529500879313,0,0,0,0
1529500879413,0,0,0,0
1529500879513,0,0,0,0
1529500879613,0,0,0,0
1529500879714,0,0,0,0
1529500879814,0,0,0,0
1529500879914,0,0,0,0
1529500880014,0,0,0,0
1529500880114,0,0,0,0
1529500880215,0,0,0,0
1529500880315,0,0,0,0
1529500880415,0,0,0,0
1529500880515,0,0,0,0
1529500880615,0,0,0,0
1529500880715,0,0,0,0
1529500880816,0,0,0,0
1529500880916,0,0,0,0
1529500881016,0,0,0,0
1529500881116,0,0,0,0
1529500881216,0,0,0,0
1529500881317,0,0,0,0
1529500881417,0,0,0,0
1529500881517,0,0,0,0
1529500881617,0,0,0,0
1529500881717,0,0,0,0
1529500881818,0,0,0,0
1529500881918,1,0,0,0
1529500882018,1,0,0,0
1529500882118,1,0,0,0
1529500882218,1,0,0,0
1529500882319,1,0,0,0
1529500882419,1,0,0,0
1529500882519,1,0,0,0
1529500882619,1,0,0,0
1529500882719,1,0,0,0
1529500882819,1,0,0,0
1529500882920,1,0,0,0
1529500883020,1,0,0,0
1529500883120,1,0,0,0
1529500883220,1,1,0,0
1529500883320,1,1,0,0
1529500883421,1,1,0,0
1529500883521,1,1,0,0
1529500883621,1,1,0,0
1529500883721,1,1,0,0
1529500883821,1,1,0,0
1529500883921,1,1,0,0
1529500884022,1,1,0,0
1529500884122,1,1,0,0
1529500884222,1,1,0,0
1529500884322,1,1,1,0
1529500884422,1,1,1,1
1529500884523,1,1,1,1
1529500884623,1,1,1,1
1529500884723,1,1,1,1
1529500884823,1,1,1,1
1529500884923,1,1,1,1
1529500885024,1,1,1,1
1529500885124,1,1,1,1
1529500885224,1,1,1,1
1529500885324,1,1,1,1
1529500885424,1,1,1,1
1529500885525,1,1,1,1
1529500885625,1,1,1,1
1529500885725,1,1,1,1
1529500885825,1,1,1,1
1529500885925,1,1,1,1
1529500886026,1,1,1,1
1529500886126,1,1,1,1
1529500886226,1,1,1,1
1529500886326,1,1,1,1
1529500886426,1,1,1,1
1529500886527,1,1,1,1
1529500886627,1,1,1,1
1529500886727,1,1,1,1
1529500886827,1,1,1,1
1529500886927,1,1,1,1
1529500887028,1,1,1,1
1529500887128,1,1,1,1
1529500887228,1,1,1,1
1529500887328,1,1,1,1
1529500887428,1,1,1,1
1529500887529,1,1,1,1
1529500887629,1,1,1,1
1529500887729,1,1,1,1
1529500887829,1,1,1,1
1529500887929,1,1,1,1
1529500888029,1,1,1,1
1529500888130,1,1,1,1
1529500888230,1,1,1,1
1529500888330,1,1,1,1
1529500888431,1,1,1,1
1529500888531,1,1,0,1
1529500888632,1,1,0,1
1529500888732,1,1,0,1
1529500888832,1,1,0,1
1529500888932,1,1,0,1
1529500889032,1,1,0,1
1529500889133,1,1,0,1
1529500889233,1,1,0,1
1529500889333,1,1,0,1
1529500889433,1,1,0,1
1529500889533,1,1,0,1
1529500889634,1,0,0,1
1529500889734,1,0,0,1
1529500889834,1,0,0,1
1529500889934,1,0,0,1
1529500890034,1,0,0,1
1529500890135,1,0,0,1
1529500890235,1,0,0,1
1529500890335,1,0,0,1
1529500890435,1,0,0,1
1529500890535,1,0,0,1
1529500890636,1,0,0,1
1529500890736,1,0,0,1
1529500890836,1,0,0,1
1529500890936,1,0,0,1
1529500891036,1,0,0,1
1529500891136,1,0,0,1
1529500891237,1,0,0,1
1529500891337,1,0,0,1
1529500891437,1,0,0,1
1529500891537,1,0,0,1
1529500891637,1,0,0,1
1529500891738,1,0,0,1
1529500891838,1,0,0,1
1529500891938,1,0,0,1
1529500892038,1,0,0,1
1529500892138,1,0,0,1
1529500892239,1,0,0,1
1529500892339,1,0,0,1
1529500892439,1,0,0,0
1529500892539,1,0,0,0
1529500892639,1,0,0,0
1529500892739,1,0,0,0
1529500892840,1,0,0,0
1529500892940,1,0,0,0
1529500893040,1,0,0,0
1529500893140,1,0,0,0
1529500893240,1,0,0,0
1529500893341,1,0,0,0
1529500893441,1,0,0,0
1529500893541,1,0,0,0
1529500893641,1,0,0,0
1529500893741,1,0,0,0
1529500893841,1,0,0,0
1529500893942,1,0,0,0
1529500894042,1,0,0,0
1529500894142,1,0,0,0
1529500894242,1,0,0,0
1529500894342,1,0,0,0
1529500894443,1,0,0,0
1529500894543,1,0,0,0
1529500894643,1,0,0,0
1529500894743,1,0,0,0
1529500894843,1,0,0,0
